Game;Revenue;Genre(s)
Honor of Kings / Arena of Valor;14667500000;MOBA
Monster Strike;10000000000;Puzzle / RPG / Strategy
PUBG Mobile;9000000000;Battle royale
Puzzle & Dragons;8578340000;RPG / Puzzle
Clash of Clans;8000000000;Strategy
Pokémon Go;7760000000;Augmented reality
Candy Crush Saga;7456000000;Puzzle
Fate/Grand Order;6300000000;RPG
Fantasy Westward Journey;4700000000;MMORPG
Garena Free Fire;4330000000;Battle royale
Roblox Mobile;3919000000;GCS / MMO
Genshin Impact;3567000000;Action RPG
Lineage M;3578000000;MMORPG
Dragon Ball Z: Dokkan Battle;3500000000;RPG / Puzzle
Coin Master;3008000000;Casual / Casino
Clash Royale;3000000000;Real-time strategy
Gardenscapes;3000000000;Puzzle / Decoration
Game of War: Fire Age;2800000000;Strategy
Lords Mobile;2576700000;Strategy / MMO
Homescapes;2294000000;Puzzle / Decoration
Pro Yakyū Spirits A / Pro Baseball Spirits A;2200000000;Sports (baseball)
Lineage 2: Revolution;2106770000;MMORPG
Candy Crush Soda Saga;2000000000;Puzzle
Three Kingdoms Tactics;1936200000;Strategy (4X)
Marvel Contest of Champions;1784000000;Fighting
Toon Blast;1600000000;Puzzle
Disney Tsum Tsum;1500000000;Puzzle
Call of Duty: Mobile;1500000000;Shooter / Battle royale
Knives Out;1485270000;Battle royale
AFK Arena;1450000000;RPG
Lineage 2 M;1413000000;MMORPG
Hay Day;1400000000;Simulation
Brawl Stars;1400000000;MOBA
Summoners War: Sky Arena;1350000000;TBS / MMO
Fortnite;1200000000;Battle royale
Onmyoji;1129000000;RPG
Star Wars: Galaxy of Heroes;1071000000;RPG
Boom Beach;1000000000;Strategy
Mobile Strike;1000000000;Strategy
Mobile Legends: Bang Bang;1000000000;MOBA
Fire Emblem Heroes;1000000000;Tactical RPG
Uma Musume Pretty Derby;990000000;Simulation / Social
QQ Speed Mobile / Speed Drifters;945000000;Racing (Kart / MMOR)
Dragon Ball Legends;930000000;Action RPG
Dragon Quest Walk;927720000;Augmented reality
Rise of Kingdoms;926000000;Strategy
Fishdom;923600000;Puzzle
Township;922100000;Simulation (CMS)
A Chinese Ghost Story;860000000;MMORPG
Marvel Strike Force;846000000;RPG
Toy Blast;820000000;Puzzle
Granblue Fantasy;754200000;RPG
Honkai Impact 3rd;731000000;ARPG / Hack & slash
King of Avalon;721000000;Strategy
Clash of Kings;700000000;Strategy / MMO
The Seven Deadly Sins: Grand Cross;680000000;RPG
Hearthstone;660000000;DCCG
The Battle Cats;600000000;Real Time Strategy
The Idolmaster Cinderella Girls: Starlight Stage;524000000;DCCG / Rhythm
Final Fantasy XV: A New Empire;518400000;Strategy
Guns of Glory;510000000;Strategy MMORPG
League of Legends: Wild Rift;505000000;MOBA
Minecraft;500000000;Sandbox / Survival
Crossfire Mobile;458000000;Tactical FPS
Blade & Soul Revolution;457000000;MMORPG
Bingo Blitz;443000000;Online Bingo
Harry Potter: Hogwarts Mystery;401000000;RPG
8 Ball Pool;400000000;Sports (pool)
Harry Potter: Magic Awakened;358000000;RPG
Angry Birds 2;332500000;Physics / Puzzle
FIFA Mobile / FIFA Soccer;308700000;Sports (association football)
Lineage W;302985000;MMORPG
Black Desert Mobile;300000000;MMORPG
Yu-Gi-Oh! Duel Links;284000000;Digital collectible card game
Mario Kart Tour;282000000;Racing (Kart)
Animal Crossing: Pocket Camp;282000000;Simulation (Social)
#COMPASS;281000000;MOBA
Raid: Shadow Legends;247000000;RPG
Star Trek Fleet Command;222000000;Strategy (4X)
Project Makeover;218000000;Puzzle / Decoration
Harry Potter: Puzzles & Spells;218000000;Puzzle
DomiNations;200000000;Strategy
Candy Crush Friends Saga;200000000;Puzzle
Top War;192000000;Strategy
Empire & Puzzles;186000000;Puzzle / RPG
KartRider Rush+;169000000;Racing (Kart)
Dragalia Lost;168000000;Action RPG
Perfect World Mobile;165000000;MMORPG
Three Kingdoms Fantasy Land;161600000;Strategy (auto battler)
Candy Crush Jelly Saga;158000000;Puzzle
Jikkyō Powerful Pro Yakyū;155000000;Sports (baseball)
Puzzles & Survival;151000000;Puzzle / Strategy
Slotomania;149000000;Simulation (Slot)
NBA Live Mobile;140000000;Sports (basketball)
White Cat Project;134000000;Action RPG
BanG Dream! Girls Band Party!;124050000;Rhythm / Adventure
CSR Racing 2;121500000;Racing
One Piece: Burning Will;117000000;RPG
One Piece: The Road of the Strong;113840000;DCCG
Yahtzee With Buddies;113000000;Yahtzee
Dragon Quest Tact;111990000;Tactical RPG
Fallout Shelter;100000000;Simulation (CMS)
Mafia City;100000000;RPG
Madden NFL Overdrive;100000000;Sports (American football)
