id;review;type_review;language;score
lutri;Maybe the best game I have ever played. It just, damn... THE GAME IS SO GOOD I CAN'T DESCRIBE IT!,,Well first to say I have never liked zombies and the idea of zombies was just so ridiculous to me BUT this game made me understand them more and why they exist.,,I really don't have more to say it is a solid 9 I would give it a 10 but the AI was sometimes so stupid and it noticed me even tho I didn't make a sound or anything...;normal;English;9
lolnolol;Not worth your time or your money. Supposedly one plays this for the characters but let's not pretend they are going anywhere lol.;expanded;English;0
Svetlendrius;"A good shooter-horror adventure with the beloved story of ""father"" and ""daughter"".  A good arsenal of skills and weapons, in moments with the infected, the music perfectly keeps you in suspense.  I didn't like the spawn of mobs right on the ""ears"" when they sacrifice the tactical component for the sake of tension.  A little crooked dubbing in the transitional phrases of the characters.  Plus the American presentation of the already hackneyed storyline.";normal;English;8
Hodgeftm;This game has awoken my love for gaming, I went it to it not knowing any hype in regards to what I now know due to reading up when I completed it and the outrage it has caused amongst the Karen’s of the world.,The game is a masterpiece and the story is a thing a beauty and could have been used as a tv series it’s that gripping. Instantly up in there as one of my favourite all time games.;expanded;English;10
DaPonti;Very well executed and not too repetitive, unlike most games in the genre.. Great story although I really didn't like how the end is forced upon you.,Graphics aren't the best since it's a PS3 remaster, but still rather good.;expanded;English;9
Benbran10;A masterpiece of storytelling and gaming. This may be my all time favourite video game;expanded;English;10
perro_loco;What an amazing game! The story is really awesome and the gameplay is always fun, one of the best games I ever played;expanded;English;10
RedDragon1240;This is the first game I player in PS4. Absolute masterpiece, nothing more to say. Top 10 best games ever created.;expanded;English;10
Cz3rw0ny;Amazing story and a pretty good gameplay, keeping in mind this game originally came out in 2013 for PS3.;expanded;English;9
Borz5;An awesome game. The flow of the story is nice. It always gives you a reason to continue the game. At the end we feel the characters close to us. The gameplay is also well detailed and fun. The AI is more than good. The enemies force you to step out from your comfort zone so usually you are the prey not the hunter. The game rewards the exploration. You should play this game.;expanded;English;10
Xplocion;"The good:,Great third person shooter game. Inventory management. Awesome graphics. Here the Let behind DLC is included. It has Multiplayer.,,The bad:,I did see The Road (Dimension Films, 2009) in the cinema, this game takes a lot of inspiration from that movie, not to say that it traces certain parts. Lots of motion blur that hides background errors but focuses the player's attention on the foreground and faces. After passing the impact of the graphics, after 30 minutes the game becomes repetitive and you have to constantly search for the bandages. Enemy AI is painful, enemies are bullet sponges. Ellie's AI is painful and in shootings she got stuck in walls or projections, the ""smart idea"" to justify this was: ""she's invisible to enemies"" (face-palm) when in Resident Evil 4 we see that Ashlie is just as useless in AI if she can be injured and the game is even over if she dies ...,,What Meh:,It is a game besides that it traces to the Movie The Road is good but not the masterpiece that everyone says. You ask many about parts that you liked about the game and the unanimous answer is the giraffe, because that is what the press showed them, after that little or nothing they know later and at least here is the Let Behind DLC where you can see it Ellie's preferences long before ""it became fashionable to be on the side of political correctness and gender diversity."" There are people who talk about this game as a masterpiece ... the game is good, so first buy the game and finish it and you will see that it is not a masterpiece at all, it is a good game nothing more.";normal;English;7
Cormacd69;Absolute perfection that you can revisit time and time again. What I would give to play this game for the very first time once more. A game has never left such an impact on me, from the relationship between Joel and Ellie to the beauty of the post apocalyptic world. What makes this game a masterpiece isn't the combat, or the gameplay mechanics, it's the fact that this game is a story, one that hooks you and doesn't let go. As the relationship forms between Joel and Ellie, your connection to both characters also grows, words can't do this game justice. If I was told I could recommend one game for every person to play once in their lives, this would be it.;normal;English;10
Pitipat;This game is suck it so hard and the zombie are have too much damage to hit me and when I shot them I have to use a lot ammo to kill them and sometime they kill me in one hit kill so don't buy this game;expanded;English;1
Sherlak;Omg, the best game series, first and second parts are so emotional and it is the point of this kind of games 10/10;expanded;English;10
Messiah28;The way this game makes you feel is insane. Love the character building and the plot. As always, just another naughty dog game with amazing story and settings. Definitely recommend this game!;expanded;English;10
BenLea;The last of us is one of the best games I have ever played. In the beginning the game is seemingly just your average zombie story, with mediocre characters and good graphics. As the game develops, you begin to care for these characters, gaining a deeper understanding of their individual personalities, making you want to continute to play to see how they develop and see what happens to them. The game easily switches between a calming walk through a forest, and into an intense fight against a bunch of clickers. The way that the characters interact with each other is immaculate, and enhances the story, deepening your love for the characters.,,However, there are some bad things about the game, like sometimes a character won't know what to do and just stands there, or a character will get in your way while you're shooting, and also the fact that the other characters seem to be immune to sound and can sprint around whenever they want but other than that,,,This game is a masterpiece. 9/10;normal;English;9
swkane;What can I say about Last Of Us that hasn't been said many times before? I was a late, late comer to the series, but even this graphics snob popped this 7 year old remaster of an 8 year old game into his brand new PS5 and cried when the story ended. This story was the continuation of I am Legend that Middle School me never thought he would get. If you haven't played this game, just do yourself a favor and play it.;normal;English;10
Milemouse;In my opinion, this is undoubtedly and simply put the greatest game of all time;expanded;English;10
CRIBCURDZ;I’ve played a lot of awesome games since I got a PS4 in 2015. But this game really stands out as one the best games available on PS4 and one of my favourite games of all time. The brilliant character development and awesome mechanics and graphics really make this game incredible. The unique twist on the zombie outbreak story really makes it memorable. Fighting mechanics work really well with pretty good AI which provides a good challenge. One of my few complaints with the game is the lack of ammunition which becomes very apparent in very close situations when using a gun could save you, however this adds a big challenge to gunfights and more realism to the setting of the game. Overall however, this game is one of the best of all time and highly recommend it to anyone who is searching for a new, unique game which Is unlike any other zombie game out there. Especially with the release of the PS5 soon, now is the best time to play it before you leave your PS4 in the attic and forget about it.;normal;English;10
FnaLambies;this is a video game that has a more memorable story than game-play. I experienced this game shortly after i bought a ps4 it it is by far the best video game stories ever put in a game.;expanded;English;10
deathstramding;Naughty Dog and all the games she made, the whole series is amazing uncharted and last of us very great games my score is 10 to all;expanded;English;10
Capstivel;This is maybe one of the best games ever made. The story is so powerfull. The characters and thematics are superb. I can write an entire essay about the ending, just the ending. The graphics, the sad, alone environment, the music, just fits the game. The effort Naughty Dog put on the game can be witnessed. But, nothing is perfect, the gameplay can be boring, tedious and repetitive. In some parts, it literally obligates you to stay undercover, making it very boring and tedious.;normal;English;9
