Name;Platform;Genre;Global_Sales;User_Score;User_Count;Rating;;
Wii Sports;Wii;Sports;82.53;8;322;E;;
Super Mario Bros.;NES;Platform;40.24;;;;;
Mario Kart Wii;Wii;Racing;35.52;8.3;709;E;;
Wii Sports Resort;Wii;Sports;32.77;8;192;E;;
Pokemon Red/Pokemon Blue;GB;Role-Playing;31.37;;;;;
Tetris;GB;Puzzle;30.26;;;;;
New Super Mario Bros.;DS;Platform;29.8;8.5;431;E;;
Wii Play;Wii;Misc;28.92;6.6;129;E;;
New Super Mario Bros. Wii;Wii;Platform;28.32;8.4;594;E;;
Duck Hunt;NES;Shooter;28.31;;;;;
Nintendogs;DS;Simulation;24.67;;;;;
Mario Kart DS;DS;Racing;23.21;8.6;464;E;;
Pokemon Gold/Pokemon Silver;GB;Role-Playing;23.1;;;;;
Wii Fit;Wii;Sports;22.7;7.7;146;E;;
Kinect Adventures!;X360;Misc;21.81;6.3;106;E;;
Wii Fit Plus;Wii;Sports;21.79;7.4;52;E;;
Grand Theft Auto V;PS3;Action;21.04;8.2;3994;M;;
Grand Theft Auto: San Andreas;PS2;Action;20.81;9;1588;M;;
Super Mario World;SNES;Platform;20.61;;;;;
Brain Age: Train Your Brain in Minutes a Day;DS;Misc;20.15;7.9;50;E;;
Pokemon Diamond/Pokemon Pearl;DS;Role-Playing;18.25;;;;;
Super Mario Land;GB;Platform;18.14;;;;;
Super Mario Bros. 3;NES;Platform;17.28;;;;;
Grand Theft Auto V;X360;Action;16.27;8.1;3711;M;;
Grand Theft Auto: Vice City;PS2;Action;16.15;8.7;730;M;;
Pokemon Ruby/Pokemon Sapphire;GBA;Role-Playing;15.85;;;;;
Brain Age 2: More Training in Minutes a Day;DS;Puzzle;15.29;7.1;19;E;;
Pokemon Black/Pokemon White;DS;Role-Playing;15.14;;;;;
Gran Turismo 3: A-Spec;PS2;Racing;14.98;8.4;314;E;;
Call of Duty: Modern Warfare 3;X360;Shooter;14.73;3.4;8713;M;;
Pokémon Yellow: Special Pikachu Edition;GB;Role-Playing;14.64;;;;;
Call of Duty: Black Ops 3;PS4;Shooter;14.63;;;;;
Call of Duty: Black Ops;X360;Shooter;14.61;6.3;1454;M;;
Pokemon X/Pokemon Y;3DS;Role-Playing;14.6;;;;;
Call of Duty: Black Ops II;PS3;Shooter;13.79;5.3;922;M;;
Call of Duty: Black Ops II;X360;Shooter;13.67;4.8;2256;M;;
Call of Duty: Modern Warfare 2;X360;Shooter;13.47;6.3;2698;M;;
Call of Duty: Modern Warfare 3;PS3;Shooter;13.32;3.2;5234;M;;
Grand Theft Auto III;PS2;Action;13.1;8.5;664;M;;
Super Smash Bros. Brawl;Wii;Fighting;12.84;8.9;1662;T;;
Mario Kart 7;3DS;Racing;12.66;8.2;632;E;;
Call of Duty: Black Ops;PS3;Shooter;12.63;6.4;1094;M;;
Grand Theft Auto V;PS4;Action;12.61;8.3;2899;M;;
Animal Crossing: Wild World;DS;Simulation;12.13;8.7;242;E;;
Halo 3;X360;Shooter;12.12;7.8;4100;M;;
Super Mario 64;N64;Platform;11.89;;;;;
Pokemon HeartGold/Pokemon SoulSilver;DS;Action;11.77;;;;;
Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;Role-Playing;11.68;;;;;
Gran Turismo 4;PS2;Racing;11.66;8.5;272;E;;
Super Mario Galaxy;Wii;Platform;11.35;8.9;2147;E;;
Super Mario Land 2: 6 Golden Coins;GB;Adventure;11.18;;;;;
Grand Theft Auto IV;X360;Action;11.01;7.9;2951;M;;
Gran Turismo;PS;Racing;10.95;8.7;138;E;;
Super Mario 3D Land;3DS;Platform;10.81;8.4;921;E;;
Gran Turismo 5;PS3;Racing;10.7;7.5;1112;E;;
Call of Duty: Modern Warfare 2;PS3;Shooter;10.6;6.3;2073;M;;
Super Mario All-Stars;SNES;Platform;10.55;;;;;
Grand Theft Auto IV;PS3;Action;10.5;7.5;2833;M;;
Pokemon FireRed/Pokemon LeafGreen;GBA;Role-Playing;10.49;;;;;
Super Mario 64;DS;Platform;10.3;;;;;
Call of Duty: Ghosts;X360;Shooter;10.25;2.6;2117;M;;
Just Dance 3;Wii;Misc;10.12;7.8;16;E10+;;
New Super Mario Bros. 2;3DS;Platform;9.9;7.2;424;E;;
Mario Kart 64;N64;Racing;9.87;;;;;
Halo: Reach;X360;Shooter;9.86;7.9;2045;M;;
Final Fantasy VII;PS;Role-Playing;9.72;9.2;1282;T;;
Halo 4;X360;Shooter;9.71;7;3260;M;;
Gran Turismo 2;PS;Racing;9.49;9;135;T;;
Just Dance 2;Wii;Misc;9.44;7.3;24;E10+;;
Call of Duty: Ghosts;PS3;Shooter;9.36;2.6;1047;M;;
Call of Duty 4: Modern Warfare;X360;Shooter;9.31;8.4;1320;M;;
Donkey Kong Country;SNES;Platform;9.3;;;;;
Minecraft;X360;Misc;9.18;;;;;
Animal Crossing: New Leaf;3DS;Simulation;9.16;8.7;626;E;;
Mario Party DS;DS;Misc;8.91;7.8;85;E;;
The Elder Scrolls V: Skyrim;X360;Role-Playing;8.79;8.4;3589;M;;
Super Mario Kart;SNES;Racing;8.76;;;;;
FIFA 16;PS4;Sports;8.57;4.3;896;E;;
Halo 2;XB;Shooter;8.49;8.2;1218;M;;
Wii Party;Wii;Misc;8.38;7.4;54;E;;
Mario Party 8;Wii;Misc;8.27;6.3;190;E;;
FIFA Soccer 13;PS3;Action;8.16;6.6;348;E;;
GoldenEye 007;N64;Shooter;8.09;;;;;
Pokemon Black 2/Pokemon White 2;DS;Role-Playing;8.07;;;;;
Final Fantasy X;PS2;Role-Playing;8.05;8.7;1056;T;;
The Sims 3;PC;Simulation;8.01;7.6;886;T;;
Mario & Sonic at the Olympic Games;Wii;Sports;7.99;;;;;
Star Wars Battlefront (2015);PS4;Shooter;7.98;;;;;
Final Fantasy VIII;PS;Role-Playing;7.86;8.6;644;T;;
Pac-Man;2600;Puzzle;7.81;;;;;
Pokémon Platinum Version;DS;Role-Playing;7.72;8.5;203;E;;
Grand Theft Auto: Liberty City Stories;PSP;Action;7.69;7.6;451;M;;
Call of Duty: Advanced Warfare;PS4;Shooter;7.66;5.7;1443;M;;
The Legend of Zelda: Ocarina of Time;N64;Action;7.6;;;;;
FIFA 17;PS4;Sports;7.59;5;398;E;;
Crash Bandicoot 2: Cortex Strikes Back;PS;Platform;7.58;;;;;
Super Smash Bros. for Wii U and 3DS;3DS;Fighting;7.55;;;;;
Super Mario Galaxy 2;Wii;Platform;7.51;9.1;1854;E;;
Super Mario Bros. 2;NES;Platform;7.46;;;;;
Call of Duty: Black Ops 3;XOne;Shooter;7.39;;;;;
Call of Duty: World at War;X360;Shooter;7.38;7.6;580;M;;
Battlefield 3;X360;Shooter;7.32;7.4;2142;M;;
Need for Speed Underground;PS2;Racing;7.2;8.6;171;E;;
Just Dance;Wii;Misc;7.2;8;110;E10+;;
Battlefield 3;PS3;Shooter;7.17;7.5;1761;M;;
Fallout 4;PS4;Role-Playing;7.16;6.5;4228;M;;
Tekken 3;PS;Fighting;7.16;9.1;367;T;;
The Legend of Zelda: Twilight Princess;Wii;Action;7.15;9;1658;T;;
Pokemon Sun/Moon;3DS;Role-Playing;7.14;;;;;
Crash Bandicoot 3: Warped;PS;Platform;7.13;8.9;432;E;;
Mario Kart 8;WiiU;Racing;7.09;9.1;1599;E;;
Super Smash Bros. Melee;GC;Fighting;7.07;9.1;568;T;;
Mario Kart: Double Dash!!;GC;Racing;6.95;;;;;
Need for Speed Underground 2;PS2;Racing;6.9;8.6;132;E;;
Medal of Honor: Frontline;PS2;Shooter;6.83;8.5;135;T;;
Crash Bandicoot;PS;Platform;6.82;;;;;
Just Dance 4;Wii;Misc;6.76;7.3;28;E10+;;
Gears of War 2;X360;Shooter;6.75;7.7;2739;M;;
Uncharted 3: Drake's Deception;PS3;Action;6.74;8.3;3712;T;;
Zumba Fitness;Wii;Sports;6.71;tbd;;E;;
Call of Duty 4: Modern Warfare;PS3;Shooter;6.68;8.4;993;M;;
Uncharted 2: Among Thieves;PS3;Action;6.66;8.8;5187;T;;
FIFA 12;PS3;Sports;6.65;;;;;
Big Brain Academy;DS;Misc;6.62;7.4;27;E;;
The Legend of Zelda;NES;Action;6.51;;;;;
Red Dead Redemption;PS3;Action;6.49;8.8;2456;M;;
FIFA 14;PS3;Sports;6.47;4.3;576;E;;
Assassin's Creed III;PS3;Action;6.45;6.9;1307;M;;
Donkey Kong Country Returns;Wii;Platform;6.44;8.6;368;E;;
Halo: Combat Evolved;XB;Shooter;6.43;8.6;1283;M;;
The Elder Scrolls V: Skyrim;PS3;Role-Playing;6.41;6.4;2527;M;;
Pokémon Emerald Version;GBA;Role-Playing;6.41;9;222;E;;
Kingdom Hearts;PS2;Role-Playing;6.4;8.8;597;E;;
Pokémon Crystal Version;GB;Role-Playing;6.39;;;;;
Halo 3: ODST;X360;Shooter;6.34;7.1;1163;M;;
Red Dead Redemption;X360;Action;6.32;9;2316;M;;
Super Mario Sunshine;GC;Platform;6.31;8.6;439;E;;
Street Fighter II: The World Warrior;SNES;Fighting;6.3;;;;;
World of Warcraft;PC;Role-Playing;6.29;7.3;2182;T;;
Driver;PS;Action;6.27;8.1;78;T;;
Gears of War 3;X360;Shooter;6.21;7.8;1504;M;;
Kinect Sports;X360;Sports;6.19;7.4;95;E10+;;
Gears of War;X360;Shooter;6.09;8.3;2295;M;;
FIFA 15;PS4;Sports;6.08;5.7;988;E;;
Metal Gear Solid 2: Sons of Liberty;PS2;Action;6.05;8.7;1026;M;;
Sonic the Hedgehog 2;GEN;Platform;6.03;;;;;
Metal Gear Solid;PS;Action;6.03;9.4;918;M;;
Metal Gear Solid 4: Guns of the Patriots;PS3;Action;5.99;8.7;3558;M;;
Final Fantasy XII;PS2;Role-Playing;5.95;7.6;972;T;;
The Last of Us;PS3;Action;5.87;9.1;8003;M;;
LittleBigPlanet;PS3;Platform;5.82;6.8;5311;E;;
Resident Evil 2;PS;Action;5.82;9.2;364;M;;
Dragon Quest IX: Sentinels of the Starry Skies;DS;Role-Playing;5.78;8.8;197;E10+;;
Tekken 2;PS;Fighting;5.74;8.9;102;T;;
Destiny;PS4;Shooter;5.64;6.1;5380;T;;
LEGO Star Wars: The Complete Saga;Wii;Action;5.64;8.9;62;E10+;;
